Rank,Team,Won,Lost,Tied,PF,PA,Rating
469,NORTH DAKOTA,6,11,0,1291,1312,101.011
470,MERCYHURST,7,10,0,1115,1165,100.996
471,WESTERN MICH.,3,10,0,915,965,100.968
472,N.C. CENTRAL,7,11,0,1429,1306,100.963
473,WAYNE ST. (NE),8,7,0,1080,988,100.912
474,AUGUSTA,8,5,0,1100,1060,100.891
475,HEIDELBERG,7,5,0,1027,944,100.887
476,LIU,6,11,0,1184,1180,100.867
477,MCKENDREE,6,6,0,899,882,100.866
478,SACRAMENTO ST.,5,9,0,944,900,100.854
479,NORTH CENTRAL (IL),9,5,0,1026,1032,100.839
480,AIR FORCE,3,11,0,911,980,100.836
481,WABASH,7,5,0,850,768,100.834
482,RAMAPO,9,3,0,877,797,100.823
483,CALVIN,5,6,0,808,777,100.823
484,CARNEGIE MELLON,8,3,0,856,811,100.823
485,JAMESTOWN,4,4,0,595,612,100.818
486,VANGUARD,8,4,0,1005,890,100.808
487,FLAGLER,7,4,0,932,873,100.806
488,MONMOUTH,3,12,0,1015,1159,100.802
489,ST. NORBERT,9,4,0,954,867,100.790
490,DOMINICAN (NY),6,5,0,878,851,100.786
491,BOWLING GREEN,5,8,0,1009,970,100.769
492,PENN,4,9,0,824,966,100.740
493,CHOWAN,7,4,0,955,937,100.728
494,EAST TEXAS A&M,2,12,0,889,1103,100.728
495,EASTERN ILL.,5,9,0,998,1042,100.724
496,WIS.-EAU CLAIRE,8,4,0,862,828,100.702
497,GRAND VALLEY ST.,6,6,0,937,849,100.681
498,MARIAN (WI),11,2,0,924,805,100.677
499,MILES,9,3,0,821,693,100.666
500,USC BEAUFORT,9,3,0,1072,1018,100.641
501,CENTRAL MO.,7,6,0,849,841,100.636
502,SOUTHERN IND.,6,8,0,1054,1019,100.611
503,ROANOKE,9,3,0,1037,814,100.608
504,NORTHEASTERN ST.,9,5,0,1131,1058,100.604
505,UVA WISE,8,6,0,1131,1086,100.587
506,COLGATE,4,11,0,1007,1076,100.584
507,ADAMS ST.,6,6,0,1066,1052,100.577
508,WAGNER,8,7,0,959,870,100.570
509,BARRY,7,7,0,1062,1139,100.540
510,HOUSTON CHRISTIAN,4,10,0,911,991,100.519
511,WPI,9,3,0,874,763,100.500
512,WESTERN CARO.,4,9,0,900,1016,100.496
513,LE MOYNE,5,11,0,1190,1285,100.478
514,PRAIRIE VIEW,2,12,0,1061,1274,100.465
515,CEDARVILLE,7,5,0,909,879,100.461
516,RIDER,4,10,0,906,1034,100.451
517,N.M. HIGHLANDS,7,6,0,1045,1071,100.446
518,SHEPHERD,8,5,0,855,875,100.434
519,SCHREINER,8,4,0,969,1019,100.423
520,ROWAN,7,5,0,1000,992,100.417
521,CENTRAL ARK.,5,10,0,1087,1157,100.404
522,JEFFERSON,8,4,0,881,855,100.387
523,FDU,5,11,0,1244,1259,100.368
524,STONY BROOK,4,11,0,1006,1137,100.354
525,OTTERBEIN,7,4,0,808,766,100.319
526,TEXAS SOUTHERN,3,11,0,1005,1135,100.319
527,MARIETTA,7,4,0,911,820,100.309
528,YORK (PA),7,4,0,788,745,100.264
